EXCHANGE,sequence,tradedate,tradetime,securitycode,orderid,dealsource,dealsourcedecoded,exchangeinfo,matchgroupid,nationalbidpricesnapshot,nationalofferpricesnapshot,tradeprice,quantity,side,sidedecoded,participantid,passiveaggressive,row_num
3,3113749,2024-09-05,1725494536001032398,110621,7904794000123957515,20,Auction,ON Market,7904794000123498608,3330,3340,3340,1007,2,Sell,47,0,126
3,3113750,2024-09-05,1725494536001032398,110621,7904398175945756932,20,Auction,ON Market,7904794000123498609,3330,3340,3340,2993,1,Buy,27,0,127
3,3113751,2024-09-05,1725494536001032398,110621,7904794000124078906,20,Auction,ON Market,7904794000123498609,3330,3340,3340,2993,2,Sell,47,0,128
3,3113752,2024-09-05,1725494536001032398,110621,7904398175946465376,20,Auction,ON Market,7904794000123498610,3330,3340,3340,1500,1,Buy,144,0,129
3,3113753,2024-09-05,1725494536001032398,110621,7904794000124078906,20,Auction,ON Market,7904794000123498610,3330,3340,3340,1500,2,Sell,47,0,130
3,3113754,2024-09-05,1725494536001032398,110621,7904794000123814240,20,Auction,ON Market,7904794000123498611,3330,3340,3340,2999,1,Buy,147,0,131
3,3113755,2024-09-05,1725494536001032398,110621,7904794000124078906,20,Auction,ON Market,7904794000123498611,3330,3340,3340,2999,2,Sell,47,0,132
3,3113756,2024-09-05,1725494536001032398,110621,7904794000123907689,20,Auction,ON Market,7904794000123498612,3330,3340,3340,1471,1,Buy,17,0,133
3,3113757,2024-09-05,1725494536001032398,110621,7904794000124078906,20,Auction,ON Market,7904794000123498612,3330,3340,3340,1471,2,Sell,47,0,134
3,3113758,2024-09-05,1725494536001032398,110621,7904794000124112913,20,Auction,ON Market,7904794000123498613,3330,3340,3340,789,1,Buy,67,0,135
3,3113759,2024-09-05,1725494536001032398,110621,7904794000124078906,20,Auction,ON Market,7904794000123498613,3330,3340,3340,789,2,Sell,47,0,136
3,3113760,2024-09-05,1725494536001032398,110621,7904794000124112913,20,Auction,ON Market,7904794000123498614,3330,3340,3340,535,1,Buy,67,0,137
3,3113761,2024-09-05,1725494536001032398,110621,7904794000123908130,20,Auction,ON Market,7904794000123498614,3330,3340,3340,535,2,Sell,47,0,138
3,3113762,2024-09-05,1725494536001032398,110621,7904794000124112913,20,Auction,ON Market,7904794000123498615,3330,3340,3340,62,1,Buy,67,0,139
3,3113763,2024-09-05,1725494536001032398,110621,7904794000123915623,20,Auction,ON Market,7904794000123498615,3330,3340,3340,62,2,Sell,47,0,140
3,3113764,2024-09-05,1725494536001032398,110621,7904398175942027808,20,Auction,ON Market,7904794000123498616,3330,3340,3340,205,1,Buy,144,0,141
3,3113765,2024-09-05,1725494536001032398,110621,7904794000123915623,20,Auction,ON Market,7904794000123498616,3330,3340,3340,205,2,Sell,47,0,142
